,bbox,text,confidence
0,"[[np.int32(796), np.int32(290)], [1728, np.int32(290)], [1728, np.int32(525)], [np.int32(796), np.int32(525)]]",Phpebis Sehnc,0.4751352466477868
1,"[[np.int32(997), np.int32(483)], [np.int32(1678), np.int32(483)], [np.int32(1678), np.int32(660)], [np.int32(997), np.int32(660)]]",maxgellina,0.4152078448741778
2,"[[np.int32(1506), np.int32(1641)], [np.int32(1612), np.int32(1641)], [np.int32(1612), np.int32(1720)], [np.int32(1506), np.int32(1720)]]",UF,0.9998492861964247
3,"[[np.int32(1506), np.int32(1746)], [1728, np.int32(1746)], [1728, np.int32(1823)], [np.int32(1506), np.int32(1823)]]",FLMNH,0.857381194300393
4,"[[np.int32(1293), np.int32(1845)], [1728, np.int32(1845)], [1728, np.int32(1935)], [np.int32(1293), np.int32(1935)]]",MGCL 116892,0.9821206944219104
5,"[[np.int32(840), np.int32(2026)], [np.int32(1087), np.int32(2026)], [np.int32(1087), np.int32(2110)], [np.int32(840), np.int32(2110)]]",ARIZ:,0.9857670675000209
6,"[[np.int32(1166), np.int32(2021)], [np.int32(1661), np.int32(2021)], [np.int32(1661), np.int32(2134)], [np.int32(1166), np.int32(2134)]]",santa Cruz,0.8845340550315648
7,"[[np.int32(1696), np.int32(2050)], [np.int32(1727), np.int32(2050)], [np.int32(1727), np.int32(2110)], [np.int32(1696), np.int32(2110)]]",(,0.15089722028301367
8,"[[np.int32(977), np.int32(2103)], [np.int32(1710), np.int32(2103)], [np.int32(1710), np.int32(2215)], [np.int32(977), np.int32(2215)]]",sycamore `Cenyon,0.5373979757432117
9,"[[np.int32(1171), np.int32(2189)], [np.int32(1512), np.int32(2189)], [np.int32(1512), np.int32(2265)], [np.int32(1171), np.int32(2265)]]",2-IX-71,0.8775284544102441
10,"[[np.int32(1238), np.int32(2262)], [np.int32(1339), np.int32(2262)], [np.int32(1339), np.int32(2336)], [np.int32(1238), np.int32(2336)]]",B .,0.18467633891033525
11,"[[np.int32(1377), np.int32(2259)], [np.int32(1682), np.int32(2259)], [np.int32(1682), np.int32(2347)], [np.int32(1377), np.int32(2347)]]",0'Hara,0.8231667099954374
12,"[[np.int32(1619), np.int32(2505)], [1728, np.int32(2505)], [1728, np.int32(2579)], [np.int32(1619), np.int32(2579)]]",@L,0.09870922280227966
13,"[[np.int32(1267), np.int32(2519)], [np.int32(1550), np.int32(2519)], [np.int32(1550), np.int32(2703)], [np.int32(1267), np.int32(2703)]]",vec},0.02311074174940586
14,"[[np.int32(1537), np.int32(2558)], [np.int32(1703), np.int32(2558)], [np.int32(1703), np.int32(2645)], [np.int32(1537), np.int32(2645)]]",Ax,0.08005944491182564
15,"[[np.float64(1015.9838128076015), np.float64(2250.0575527068927)], [np.float64(1209.7625467951102), np.float64(2277.946278094896)], [np.float64(1194.0161871923985), np.float64(2355.9424472931073)], [np.float64(1000.2374532048898), np.float64(2327.053721905104)]]",109.,0.7521743774414062
16,"[[np.float64(1302.1132466948843), np.float64(2460.043791618332)], [np.float64(1627.9415260655048), np.float64(2499.9757385002363)], [np.float64(1612.8867533051157), np.float64(2578.956208381668)], [np.float64(1287.0584739344952), np.float64(2539.0242614997637)]]",B O',0.5202513462896484
