id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163541,MGCL 1163541_8006.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163541,"JAMAICA, W. I. 1962 St. Andrew Aug 10 Mona Area P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163542,MGCL 1163542_8008.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163542,"JAMAICA, W. I. 1962 St. Andrew 15 July Bull Bay P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163543,MGCL 1163543_8010.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163543,"JAMAICA, W. I. 1962 St. Andrew July 1 Hope Gdns \ Mona P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163544,MGCL 1163544_8012.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163544,"JAMAICA, W. I. 1962 Kingston St. Andrews Aug 19 Mona 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163545,MGCL 1163545_8014.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163545,"JAMAICA, W. I. St. Andrews 15 July Bull Bay 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163546,MGCL 1163546_8016.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163546,"Toll Gate, Clarendon Parish JAMAICA 12/16/70 Carlos & Dinora Valerio leg.",Phoebis eubule sennae,Generic MGCL Accession unnumbered,
MGCL 1163547,MGCL 1163547_8018.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163547,"JAMAICA, W. I. St. Andrews 15 July Bull Bay 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163548,MGCL 1163548_8020.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163548,ROSE HALL PLANTATION ST. JAMES PARISH MONTIEGO BAY JAMAICA Ed Hollister Coll,January 1991,Phoebis sennae sennae ♂,RC Holliaster colln. MGCL Acc. no. 2005-20
MGCL 1163549,MGCL 1163549_8022.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163549,ROSE HALL PLANTATION ST. JAMES PARISH MONTIEGO BAY JAMAICA Ed Hollister Coll,January 1991,Phoebis sennae sennae ♂,RC Holliaster colln. MGCL Acc. no. 2005-20
MGCL 1163550,MGCL 1163550_8024.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163550,"JAMAICA: St. Catherine Par. : Hellshire Hills, ca. 5 mi. S. Spanish Town 27 March 1977",G T Austin colln MGCL Acc. 2004-5,,
MGCL 1163551,MGCL 1163551_8026.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163551,"JAMAICA: St. Catherine Par. : Hellshire Hills, ca. 5 mi. S. Spanish Town 27 March 1977",G. T. Austin colln. MGCL Accession #2004-5,Genetalic Vial GTA - 13519,
MGCL 1163552,MGCL 1163552_8028.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163552,"JAMAICA, '98 W. J. KAYE.",,,
MGCL 1163553,MGCL 1163553_8030.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163553,"JAMAICA, '98 W. J. KAYE.",,,
MGCL 1163554,MGCL 1163554_8032.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163554,"JAMAICA, '98",,,
MGCL 1163555,MGCL 1163555_8034.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163555,"Canohona JAMAICA, 7.7' 98 W. J. K. Harris.",,,
MGCL 1163556,MGCL 1163556_8036.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163556,JAMAICA,,,
MGCL 1163557,MGCL 1163557_0377.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163557,JAMAICA II. 5 '98 Resoures,,,
MGCL 1163558,MGCL 1163558_8039.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163558,"JAMAICA: St. Andrew Par. Surrey Co., in and nr. King's House Grounds (Kingston 6) 500' xi.1984 R. Eisele",Allyn Museum Acc. 1984-20,,
MGCL 1163559,MGCL 1163559_0375.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163559,"JAMAICA, '98",,,
MGCL 1163560,MGCL 1163560_8042.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163560,R. BRUSH 3/28/60 MONTeGO BAY JAMAICA BWI,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163561,MGCL 1163561_8044.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163561,R. BRUSH 3/4/61 ORACABeSSA JAMAICA BWI,Brush Colln. Allyn Museum Acc. 1983-15,,
